RatingAverage,QuantitySold,ReviewCount,OriginalPrice,ReviewThankCount,ProductUsageTime,ReviewContent,ReviewStar
4.5,1451,265,62000,0,119786.0,"Hàng đẹp, dễ lắp ráp, giá cả hợp lý. Tuy nhiên cái móc để treo thiết kế không hợp lý.",5
4.5,1451,265,62000,0,259072.0,Lắp ghép nhanh gọn. Nhẹ. Đẹp,5
4.5,1451,265,62000,0,359810.0,"Chất liệu chắc chắn, đẹp,  mỗi tội rơi mất 1 cái đinh. Vẫn rất hài lòng.",5
4.5,1451,265,62000,0,288.0,hàng chất lượng.,5
4.5,1451,265,62000,0,46010.0,"Đẹp, tiện lợi",5
4.5,1451,265,62000,1,127755.0,Rất tiện dụng! Chất lượng sản phẩm còn chờ thời gian mới đánh giá được!,5
4.5,1451,265,62000,0,416244.0,Tốt,5
4.5,1451,265,62000,0,15270.0,ok.tốt,5
4.8,12418,3492,799000,2,16860.0,"SP này đặt hàng hẹn 19.10 giao mãi 25.10 mới giao. Gần đây mua quần Tiki quảng cáo túi mấy bằng vải quần không như công ty khác mấy băng vải mỏng, giao hàng quần không có túi (xem hình), giống lừa đảo khách hàng. Trước giờ mua hàng khá nhiều từ Tiki, nhưng giờ vô cùng thất vọng. Nhắn nhủ mọi người  ko nên trả tiền trước cho Tiki, giao trể hẹn cứ kêu shipper mang về cho Tiki xài.",1
4.8,12418,3492,799000,3,5520847.0,"sản phẩm cực kì tệ so với giá tiền. vắt không không nước , lau không sạch nhà. tóm lại là cực kỳ tệ",1
4.8,12418,3492,799000,0,1766063.0,"Shop bán hàng không uy tín, x2 tấm lau sàn, nhưng nhận hàng chỉ có x1. 
Sản phẩm dùng tiện lợi, dễ dàng, có thể mua lần tiếp theo, nhưng phải nói sao bán vậy. 
Cần xem xét lại.",1
4.8,12418,3492,799000,5,362570.0,"Đọc comment bảo lau nhà ngon các kiểu, mình mua thử về xài thì khá thất vọng. nếu nhà các bạn rộng thì đừng mua vì thùng khá nhỏ và chiều dài cán lau nhà khá ngắn, đắt hơn nhiều so vs giá các cây lau nhà cùng loại",1
4.8,12418,3492,799000,3,33462594.0,bộ lau nhà này mua dc 1 năm xài dc mấy lần lau không sạch.lau rất lâu . khuyên mọi người không nên mua.,1
4.8,12418,3492,799000,0,1908586.0,Mở thùng ra nhựa gãy bên trong ko lắp được. Shop ko kiểm tra hàng trước khi gửi sao?,1
4.8,12418,3492,799000,3,411694.0,"khuyên mọi người ko nên mua, vắt ko sạch, lau cần dùng nhiều lực lau tới lau lui, rất tốn sức, mà giá tiền thì cũng ko hề rẻ",1
